datasetID	asv	kingdom	phylum	class	order	family	genus	specificEpithet	infraspecificEpithet	otu
SBDI-ASV-191208	ASVBAC001222	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Leaf454	sp1		
SBDI-ASV-191208	ASVBAC001248	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Leaf454	sp1		
SBDI-ASV-191208	ASVBAC001258	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Leaf454	sp1		
SBDI-ASV-191208	ASVBAC001274	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Leaf454	sp1		
SBDI-ASV-191208	ASVBAC001337	Bacteria								
SBDI-ASV-191208	ASVBAC001367	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Leaf454	sp1		
SBDI-ASV-191208	ASVBAC001391	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Leaf454	sp1		
SBDI-ASV-191208	ASVBAC001592	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Leaf454	sp1		
SBDI-ASV-191208	ASVBAC001668	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Leaf454	sp1		
SBDI-ASV-191208	ASVBAC001682	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Leaf454	sp1		
SBDI-ASV-191208	ASVBAC001773	Bacteria								
SBDI-ASV-191208	ASVBAC001823	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Leaf454	sp1		
SBDI-ASV-191208	ASVBAC001955	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Leaf454	sp1		
SBDI-ASV-191208	ASVBAC002315	Bacteria								
SBDI-ASV-191208	ASVBAC000253	Bacteria								
SBDI-ASV-191208	ASVBAC002721	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Leaf454	sp1		
